titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
El peaje invisible que frena a los inversores..,Por esto casi nadie acaba montando su patrimonial (aunque lo tenga en mente).,2025-09-21T07:56:26.006Z,https://fiscalizarte.substack.com/p/el-peaje-invisible-que-frena-a-los,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
🏢 ¿Proteger tus activos inmobiliarios creando otra sociedad? ,Esto es lo que nadie te cuenta (pero deberías saber),2025-09-17T08:11:30.745Z,https://fiscalizarte.substack.com/p/proteger-tus-activos-inmobiliarios,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Holding patrimonial: ¿una buena idea o una bomba fiscal?,Descubre si tu empresa puede ser al mismo tiempo una Holding y una Patrimonial. ,2025-09-10T11:15:12.184Z,https://fiscalizarte.substack.com/p/holding-patrimonial-una-buena-idea,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
👉 Te estás metiendo en un lío con Hacienda y ni siquiera lo sabes..,,2025-09-09T15:16:52.185Z,https://fiscalizarte.substack.com/p/te-estas-metiendo-en-un-lio-con-hacienda,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 17: Reducción por Rendimientos Irregulares y Arrendamientos con paresteco familiar.,Conoce esta reducción que el 95% de los inversores desconocen.,2025-09-07T07:05:18.706Z,https://fiscalizarte.substack.com/p/clase-17-reduccion-por-rendimientos,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,05d660d1-476e-4513-a932-b986701093e9 | 208f4a53-bd61-48e1-b23d-d6a66a6e3d31,676.23334 | 676.04895,PENDIENTE,Preparado para extracción final
"💸 Así he ganado 12.482 € en 6 meses invirtiendo solo 36.000 €. Sin alquilar, sin líos, y pagando menos impuestos",,2025-09-06T08:30:11.525Z,https://fiscalizarte.substack.com/p/asi-he-ganado-12482-en-6-meses-invirtiendo,everyone,newsletter,newsletter_con_video_embebido,body_html + native-video-embed + ASR_local,,0,,0,local_asr_video,,0,49380607-42b1-4c9e-96be-0f8e3a110311,,PENDIENTE,Preparado para extracción final
🚀 Masterclass GRATIS: Cómo pagar menos impuestos en tus inversiones inmobiliarias,,2025-09-04T15:24:47.969Z,https://fiscalizarte.substack.com/p/masterclass-gratis-como-pagar-menos,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
🧾 Fiscalidad Inmobiliaria | ¿Cómo se calcula la amortización fiscal de un inmueble heredado y alquilado?,,2025-09-03T12:10:24.885Z,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-como-se-calcula,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
… esto es lo que te estás perdiendo...,,2025-08-31T07:55:00.694Z,https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 16: Cálculo del Rendimiento Neto/Reducido.,Cómo calcular el Rendimiento Neto/Reducido de Capital Inmobiliario.,2025-08-28T07:02:17.368Z,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,49c07d75-3a55-425d-9383-1733791ac3a4 | cf89b3b9-f42e-4590-8aa7-ab68b96fe026,1048.7667 | 1048.6595,PENDIENTE,Preparado para extracción final
💡 Fiscalidad inmobiliaria: el caso de la “renta garantizada” en la compraventa de locales comerciales,,2025-08-27T07:40:25.163Z,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-el-caso-de,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
